Equipment;Familly;Category;Event;From;To;duration
Prakla №2_ KATCO;standBy;WAITING;Обед;05.07.2025 0:00;05.07.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;04.07.2025 21:00;05.07.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;04.07.2025 20:00;04.07.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;04.07.2025 19:00;04.07.2025 20:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;04.07.2025 14:00;04.07.2025 19:00;5
Prakla №2_ KATCO;standBy;WAITING;Обед;04.07.2025 13:00;04.07.2025 14:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;04.07.2025 10:30;04.07.2025 13:00;2,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;04.07.2025 9:00;04.07.2025 10:30;1,5
Prakla №2_ KATCO;use;WAITING;ППР;04.07.2025 8:00;04.07.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;04.07.2025 1:00;04.07.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;04.07.2025 0:00;04.07.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.07.2025 21:00;04.07.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;03.07.2025 20:00;03.07.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;03.07.2025 19:30;03.07.2025 20:00;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.07.2025 13:00;03.07.2025 19:30;6,5
Prakla №2_ KATCO;standBy;WAITING;Обед;03.07.2025 12:00;03.07.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.07.2025 9:00;03.07.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;03.07.2025 8:00;03.07.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.07.2025 1:00;03.07.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;03.07.2025 0:00;03.07.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.07.2025 20:30;03.07.2025 0:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;02.07.2025 20:00;02.07.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;02.07.2025 16:30;02.07.2025 20:00;3,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.07.2025 13:00;02.07.2025 16:30;3,5
Prakla №2_ KATCO;standBy;WAITING;Обед;02.07.2025 12:00;02.07.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.07.2025 9:00;02.07.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;02.07.2025 8:00;02.07.2025 9:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Завоз раствора;02.07.2025 7:00;02.07.2025 8:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;02.07.2025 5:00;02.07.2025 7:00;2
Prakla №2_ KATCO;standBy;STANDBY;Ожидание материалов;02.07.2025 1:00;02.07.2025 5:00;4
Prakla №2_ KATCO;standBy;WAITING;Обед;02.07.2025 0:00;02.07.2025 1:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание раствора;01.07.2025 22:00;02.07.2025 0:00;2
Prakla №2_ KATCO;use;ASSEMBLY;Копка зумпфа;01.07.2025 21:00;01.07.2025 22:00;1
Prakla №2_ KATCO;use;WAITING;ППР;01.07.2025 20:00;01.07.2025 21:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;01.07.2025 16:00;01.07.2025 20:00;4
Prakla №2_ KATCO;use;ASSEMBLY;Установка кондуктора;01.07.2025 15:00;01.07.2025 16:00;1
Prakla №2_ KATCO;use;LEVELLING;Планировка под агрегат;01.07.2025 14:00;01.07.2025 15:00;1
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;01.07.2025 13:00;01.07.2025 14:00;1
Prakla №2_ KATCO;standBy;WAITING;Обед;01.07.2025 12:00;01.07.2025 13:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;01.07.2025 9:00;01.07.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;01.07.2025 8:00;01.07.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;01.07.2025 1:30;01.07.2025 8:00;6,5
Prakla №2_ KATCO;standBy;WAITING;Обед;01.07.2025 0:30;01.07.2025 1:30;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;30.06.2025 22:30;01.07.2025 0:30;2
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;30.06.2025 21:00;30.06.2025 22:30;1,5
Prakla №2_ KATCO;use;WAITING;ППР;30.06.2025 20:00;30.06.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;30.06.2025 13:00;30.06.2025 20:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;30.06.2025 12:00;30.06.2025 13:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание материалов;30.06.2025 9:00;30.06.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;30.06.2025 8:00;30.06.2025 9:00;1
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;30.06.2025 1:00;30.06.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;30.06.2025 0:00;30.06.2025 1:00;1
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;29.06.2025 21:00;30.06.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;29.06.2025 20:00;29.06.2025 21:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание инструмента;29.06.2025 19:00;29.06.2025 20:00;1
